2020-05-04T19:22:10.452Z|20f430f3ea12bd32|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-snapshot|200|273|-|21.471|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:12.026Z|55e9ac018f6ef59f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-snapshot-local|200|279|-|39.969|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:13.942Z|57ff46e59bb34755|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-release-local|200|259|-|39.791|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:32.216Z|7a01408a9deba973|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|86.518|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:37.180Z|452d7fc45bf2ce8a|::ffff:127.0.0.1|admin|POST|/api/v1/ui/userProfile|400|47|23|182.751|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:43.204Z|2655f1f498bcacbb|::ffff:127.0.0.1|admin|HEAD|/api/v1/ui/userApiKey?$no_spinner=true|404|0|-|133.985|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:43.205Z|1facad0889e69868|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp|200|750|-|125.755|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:43.267Z|12ac2de12fa12f51|::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|186.020|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:43.313Z|6d6471e43d7608f0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-release|200|253|-|51.550|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:51.484Z|6a1df5701b78180c|::ffff:127.0.0.1|admin|POST|/api/v1/ui/userProfile|200|438|30|558.407|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:51.686Z|712f3599ad7944c8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/userApiKey?$no_spinner=true|200|2|-|172.171|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:51.749Z|63dc70d1d7d52116|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-release|200|253|-|29.848|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:56.066Z|7f0e38eedc014ae1|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenSettings|200|236|-|35.225|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:57.148Z|649b6c376dc4ecf9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.887|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:23:02.407Z|11c36f1c45d39ace|::ffff:127.0.0.1|admin|POST|/api/v1/ui/setMeUp/mavenSnippet|200|-|129|169.410|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:23:22.191Z|34b60e0723c3c114|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|50.561|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:23:47.215Z|1f5fcf171683897b|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|83.828|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:24:12.178Z|55fa2d5a4b60b0c0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|43.563|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:24:37.182Z|163469d2490f74a6|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|45.917|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:25:02.591Z|2e6d24dc6f09fd82|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|185.631|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:25:27.513Z|178e372caf00ad8a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|98.611|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:25:53.870Z|bd395c94ab784da |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|423.992|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:26:17.594Z|7a6c60fc67c298d4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|112.295|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:26:42.323Z|2a5287d586840971|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|153.283|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:27:07.193Z|39e73aba0cb147a3|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|36.634|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:27:32.285Z|3af803c26fc33ce1|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|119.068|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:27:57.531Z|86ded0382c919b5 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|71.013|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:28:22.379Z|f827a5a72fc6261 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|26.989|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
